paris,3
agreement,130
mm,1
united,8
nations,8
2015,1
parties,204
framework,12
convention,51
climate,47
change,35
hereinafter,1
referred,26
``,7
'',7
pursuant,1
durban,1
platform,1
enhanced,8
action,19
established,11
decision,6
1/cp.17,1
conference,46
seventeenth,1
session,13
pursuit,2
objective,3
guided,3
principles,1
including,34
principle,2
equity,5
common,7
differentiated,4
responsibilities,5
respective,10
capabilities,6
light,10
different,7
national,19
circumstances,10
recognizing,15
need,7
effective,9
progressive,1
response,8
urgent,2
threat,2
basis,7
best,4
available,7
scientific,7
knowledge,6
also,9
specific,2
needs,12
special,4
developing,43
country,46
especially,3
particularly,7
vulnerable,9
adverse,10
effects,8
provided,18
taking,18
full,2
account,17
situations,2
least,11
developed,15
countries,9
regard,3
funding,1
transfer,9
technology,19
may,20
affected,2
impacts,9
measures,6
taken,3
emphasizing,1
intrinsic,1
relationship,1
actions,26
responses,1
equitable,1
access,6
sustainable,17
development,27
eradication,2
poverty,4
fundamental,1
priority,1
safeguarding,1
food,3
security,1
ending,1
hunger,1
particular,7
vulnerabilities,1
production,3
systems,5
imperatives,1
transition,1
workforce,1
creation,1
decent,1
work,2
quality,1
jobs,1
accordance,15
nationally,29
defined,3
priorities,6
acknowledging,1
concern,1
humankind,1
should,25
address,2
respect,7
promote,10
consider,3
obligations,4
human,1
rights,3
right,5
health,1
indigenous,2
peoples,2
local,4
communities,3
migrants,1
children,1
persons,1
disabilities,1
people,3
well,6
gender,1
equality,1
empowerment,1
women,1
intergenerational,1
importance,13
conservation,2
enhancement,3
appropriate,18
sinks,4
reservoirs,2
greenhouse,15
gases,4
noting,4
ensuring,2
integrity,4
ecosystems,5
oceans,1
protection,1
biodiversity,1
recognized,2
cultures,1
mother,1
earth,1
concept,1
justice,1
affirming,1
education,3
training,3
public,15
awareness,3
participation,5
information,18
cooperation,6
levels,8
matters,5
addressed,1
engagements,1
government,1
various,1
actors,1
legislations,1
addressing,3
lifestyles,1
patterns,1
consumption,1
lead,3
play,1
important,1
role,4
agreed,3
follows,1
article,86
purpose,6
definitions,1
contained,1
shall,117
apply,7
addition,3
-2-,1
means,5
adopted,7
new,2
york,2
1992,1
party,36
enhancing,9
implementation,33
aims,1
strengthen,3
global,22
context,7
efforts,18
eradicate,2
holding,1
increase,2
average,1
temperature,4
2°c,1
pre-industrial,2
pursuing,1
limit,1
1.5°c,1
would,1
significantly,1
reduce,3
risks,1
increasing,1
ability,2
adapt,1
foster,2
resilience,5
low,4
gas,11
emissions,16
manner,8
threaten,1
making,1
finance,6
flows,1
consistent,4
pathway,1
towards,5
climate-resilient,1
implemented,2
reflect,3
determined,29
contributions,17
undertake,3
communicate,10
ambitious,1
articles,10
view,6
achieving,7
set,7
represent,3
progression,3
time,9
support,38
-3-article,1
order,4
achieve,5
long-term,7
goal,4
aim,6
reach,1
peaking,2
soon,1
possible,3
take,11
longer,1
rapid,1
reductions,3
thereafter,3
science,4
balance,3
anthropogenic,4
sources,3
removals,4
second,1
half,1
century,1
prepare,2
maintain,1
successive,2
intends,1
pursue,2
domestic,1
mitigation,23
objectives,1
's,4
contribution,12
beyond,2
current,2
highest,1
ambition,5
reflecting,2
continue,4
undertaking,1
economy-wide,2
absolute,1
emission,9
reduction,3
targets,2
encouraged,6
move,1
limitation,1
allow,2
higher,2
small,5
island,5
states,14
strategies,5
plans,8
co-benefits,1
resulting,3
adaptation,47
and/or,5
economic,15
diversification,2
contribute,3
outcomes,4
-4-8,1
communicating,1
provide,16
necessary,5
clarity,3
transparency,12
understanding,4
1/cp.21,2
relevant,13
decisions,6
serving,37
meeting,39
every,2
five,2
years,3
1/cp21,1
informed,2
stocktake,9
frames,1
first,10
adjust,1
existing,6
level,4
guidance,10
communicated,4
recorded,2
